competition,comp_url,date,location,competition_subtype,competition_type,promoter
2025 STEVE KARR LAS VEGAS CLASSIC PRO,,Nov 8,"Las Vegas, NV",OPEN,"[""Men's Classic Physique""]",Austin Karr
2025 SUR PRO CUP,https://www.ifbbpro.com/competition/2025-sur-pro-cup/,Dec 13,"Buenos Aires, Argentina",OPEN,"[""Women's Bikini"", ""Men's 212 Bodybuilding""]",Fernando Loreiro
2025 SUR PRO CUP ARGENTINA,https://www.ifbbpro.com/competition/2025-sur-pro-cup-argentina/,Sep 14,"Buenos Aires, Argentina",OPEN,"[""Men's Classic Physique"", ""Women's Wellness""]",Fernando Loreiro
2025 TAHOE PRO SHOW,https://www.ifbbpro.com/competition/2025-tahoe-show/,Aug 9,"Stateline, NV",OPEN,"[""Women's Bikini""]",Chris Minnes
2025 TAIWAN PRO,https://www.ifbbpro.com/competition/2025-taiwan-pro/,Dec 5-7,Taiwan,OPEN,"[""Women's Bikini"", ""Women's Wellness"", ""Women's Figure"", ""Men's 212 Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique""]",John Chen
2025 TAMPA PRO,https://www.ifbbpro.com/competition/2025-tampa-pro/,Jul 31-Aug 2,"Tampa, FL",OPEN + MASTERS 40/45/50/55/60,"[""Men's Bodybuilding"", ""Women's Bikini"", ""Women's Figure"", ""Women's Physique"", ""Men's 212 Bodybuilding"", ""Women's Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique""]",Tim Gardner
2025 TANJI JOHNSON CLASSIC PRO,https://www.ifbbpro.com/competition/2025-tanji-johnson-classic/,Jun 21,"Tacoma, WA",OPEN + MASTERS 40,"[""Women's Wellness""]",Tanji Johnson-Bridgeman
2025 TEXAS PRO,https://www.ifbbpro.com/competition/2025-texas-pro/,Aug 8-9,"Irving, TX",OPEN,"[""Men's Bodybuilding"", ""Women's Bikini"", ""Women's Wellness"", ""Women's Figure"", ""Women's Physique"", ""Men's 212 Bodybuilding"", ""Men's Classic Physique"", ""Men's Wheelchair"", ""Men's Physique""]",Freddy Naidu | Sheilahe Brown
2025 TEXAS STATE PRO,,Nov 8,"San Marcos, TX",OPEN + MASTERS 40,"[""Men's Classic Physique"", ""Women's Figure""]",Helio Chapuseaux | Bernadette Galvan
2025 THAILAND PRO,https://www.ifbbpro.com/competition/2025-thailand-pro/,Jun 7,"Pattaya, Thailand",OPEN,"[""Men's Physique""]",Moe Elmoussawi
2025 TITANS GRAND PRIX PRO,,Sep 20,"Anaheim, CA",OPEN,"[""Women's Bodybuilding""]",Tamer El Guindy
2025 TOKYO PRO,https://www.ifbbpro.com/competition/2025-tokyo-pro-supershow/,Aug 11,"Tokyo, Japan",OPEN,"[""Men's Classic Physique"", ""Women's Bikini"", ""Men's Physique""]",Takayuki Shoji
2025 TORONTO PRO SUPERSHOW,https://www.ifbbpro.com/competition/2025-toronto-pro-supershow/,Jun 8,"Toronto, Canada",OPEN + MASTERS 40,"[""Men's Bodybuilding"", ""Women's Bikini"", ""Women's Wellness"", ""Women's Figure"", ""Women's Physique"", ""Men's 212 Bodybuilding"", ""Women's Bodybuilding"", ""Men's Classic Physique"", ""Men's Wheelchair"", ""Men's Physique""]",Ron Hache
2025 TOURNAMENT OF CHAMPIONS PRO,,Sep 27,"San Diego, CA",OPEN,"[""Men's Classic Physique""]",Tamer El Guindy
2025 TRI-CITY CLASSIC PRO,https://www.ifbbpro.com/competition/2025-tri-city-classic-pro-am/,Apr 5,"Columbus, GA",OPEN + MASTERS 40/50,"[""Men's Classic Physique"", ""Men's Physique"", ""Women's Figure""]",Roland Huff
2025 TRIPLE O DYNASTY PRO,https://www.ifbbpro.com/competition/2025-triple-o-dynasty/,Apr 5,"Mesa, AZ",OPEN + MASTERS 40,"[""Women's Figure"", ""Women's Bodybuilding""]",Cydney Gillon
2025 TSUNAMI NUTRITION SHOWDOWN FRANCE PRO,https://www.ifbbpro.com/competition/2025-tsunami-nutrition-showdown-france-pro/,Sep 27,"Lille, France",OPEN,"[""Men's Bodybuilding"", ""Men's Classic Physique"", ""Women's Bikini""]",Ron Hache
2025 TUPELO PRO,https://www.ifbbpro.com/competition/2025-tupelo-pro/,Aug 8-9,"Tupelo, MS",OPEN + MASTERS 40/50,"[""Men's Classic Physique"", ""Women's Physique"", ""Women's Wellness"", ""Women's Figure""]",Judy Gaillard
2025 UK PRO,,Jul 19-20,United Kingdom,OPEN,"[""Men's Physique""]",2 Bros Pros
2025 UTAH CUP PRO,https://www.ifbbpro.com/competition/2025-utah-cup/,Apr 5,"Holladay, UT",OPEN + MASTERS 40,"[""Men's Classic Physique""]",Steve Schmall
2025 VAN PRO/AM,https://www.ifbbpro.com/competition/2025-van-pro-am/,Jul 27,"Richmond, Canada",OPEN,"[""Men's Classic Physique"", ""Women's Bikini"", ""Men's Physique""]",Michelle Krack
2025 VANCOUVER ISLAND SHOWDOWN PRO,https://www.ifbbpro.com/competition/2025-vancouver-island-showdown-pro/,Apr 19,"Victoria, Canada",OPEN,"[""Women's Physique"", ""Women's Wellness"", ""Women's Bodybuilding""]",Corey Swiergosz
2025 WASATCH WARRIOR PRO,https://www.ifbbpro.com/competition/2025-wasatch-warrior/,Apr 26,"Salt Lake city, UT",OPEN + MASTERS 40,"[""Women's Bikini"", ""Men's Physique""]",Robyn Maher
2025 WORLD CLASSIC BIKINI PRO,https://www.ifbbpro.com/competition/2025-world-classic-2/,Jun 21,"Chattanooga, TN",OPEN,"[""Women's Bikini""]",Sandy Williamson | Robin Chang | Doug Green
2025 WORLD CLASSIC MEN'S PHYSIQUE PRO,https://www.ifbbpro.com/competition/20205-world-classic/,Jun 20,"Chattanooga, TN",OPEN,"[""Men's Physique""]",Sandy Williamson | Robin Chang | Doug Green
2025 WORLD OF MONSTERZM PRO,https://www.ifbbpro.com/competition/2025-world-of-monsterzym-korea-pro/,Apr 26,"Seoul, South Korea",OPEN,"[""Women's Bikini""]",Steve Kim
2025 WORLD OF MONSTERZYM KOREA PRO,https://www.ifbbpro.com/competition/2025-world-of-monsterzym-korea-pro-2/,May 17-18,South Korea,OPEN,"[""Men's Classic Physique"", ""Men's Physique""]",Steve Kim
2025 ZHANNA ROTAR CLASSIC PRO,,Jul 12,"Las Vegas, NV",OPEN,"[""Women's Figure""]",Tamer El Guindy
SANTO CRUZ PRO,,Aug 23,"Santa Cruz, CA",OPEN + MASTERS 40,"[""Men's Physique""]",Ted Williamson
